gem_id,gem_parent_id,source_language,target_language,source,target,references
wikilingua_crosslingual-train-2561913,wikilingua_crosslingual-train-2561913,en,fr,"It should be back-side up, with the non-decorative or plain side facing you.",Posez le papier à l'envers.,"[""Posez le papier à l'envers.""]"
wikilingua_crosslingual-train-2561933,wikilingua_crosslingual-train-2561933,en,fr,"You’re the artist here. Choose as many strands of thread as you like, as long as you're using three or more. Go for color combinations that you think would make a pretty pattern. Get creative! If you only use one color of thread, you won't be able to create a pattern.",Choisissez plusieurs fils de broderie colorés.,['Choisissez plusieurs fils de broderie colorés.']
wikilingua_crosslingual-train-2561998,wikilingua_crosslingual-train-2561998,fr,en,"Prenez une brique de jus de fruits ou de lait. Pour faire une voiture plus jolie, peignez-la avec de la peinture acrylique ou couvrez-la avec un ruban adhésif de couleur . Vérifiez bien que le carton de votre brique est en état d’être utilisé.",Get a small juice box.,['Get a small juice box.']
wikilingua_crosslingual-train-2561999,wikilingua_crosslingual-train-2561999,en,fr,"You can also use a small pint-sized milk carton as well. If you want a fancier car, you can paint the juice box with acrylic paint, or cover it with duct tape, fabric, etc. Make sure that the carton is clean and dry.",Choisissez une brique de boisson.,['Choisissez une brique de boisson.']
wikilingua_crosslingual-train-2562093,wikilingua_crosslingual-train-2562093,en,fr,"Use the search bar at the top of the YouTube site.  Your video will load, and you will see the ""Content Warning"" screen asking you to log in. Clicking on the URL in the address bar will highlight it. repeat after YouTube in the address bar. For example https://www.youtube.com/watch?v=MLUvOtqTmYM would become http://www.youtuberepeat.com/watch?v=MLUvOtqTmYM Press ↵ Enter to open the video on the redirect site. You will be able to watch the video without having to be logged in.",Cherchez la vidéo que vous voulez regarder. Appuyez sur Entrée. Ouvrez la vidéo. Cliquez sur l’URL de la vidéo. Tapez . Ouvrez la vidéo.,['Cherchez la vidéo que vous voulez regarder. Appuyez sur Entrée. Ouvrez la vidéo. Cliquez sur l’URL de la vidéo. Tapez . Ouvrez la vidéo.']
wikilingua_crosslingual-train-2562116,wikilingua_crosslingual-train-2562116,fr,en,"Pour cette technique, vous aurez besoin de deux ou trois trucs en plus, mais cette pipe est facile à faire et les résultats sont plus sympas.","Get an apple, a knife, a spoon and a pencil.","['Get an apple, a knife, a spoon and a pencil.']"
wikilingua_crosslingual-train-2562117,wikilingua_crosslingual-train-2562117,en,fr,"For this method you will need a few extra supplies, but the pipe is easy to make and the result looks more neat.","Prenez une pomme, un couteau, une cuiller et un crayon.","['Prenez une pomme, un couteau, une cuiller et un crayon.']"
wikilingua_crosslingual-train-2562139,wikilingua_crosslingual-train-2562139,en,fr,"You can use a single color and shade in the brain to add depth or use several colors to highlight different segments of the brain. For example, use 5 or 6 colors if you'll be labeling the parts of the brain. The different colors can help the segments stand out. If you're studying parts of the brain for a class, drawing the brain and labeling it is good practice. Refer to your textbook to label the:  Frontal lobe Parietal lobe Temporal lobe Occipital lobe Medulla oblongata Cerebellum",Coloriez le cerveau. Étiquetez les parties du cerveau comme référence.,['Coloriez le cerveau. Étiquetez les parties du cerveau comme référence.']
wikilingua_crosslingual-train-2562169,wikilingua_crosslingual-train-2562169,en,fr,"You should be holding the bottle securely so that it doesn’t slide in your hand when you push against it. Don’t worry about squeezing it too tight, a firm grip is enough! This is not a job for a small file cabinet key or an aluminium house key. Pick a strong, larger key like a car key or a heavier office key. It’s best to pick a key with multiple ridges at the tip--it will be easier for it to get under the bottlecap’s ridges.",Tenez la bouteille. Prenez une clé.,['Tenez la bouteille. Prenez une clé.']
wikilingua_crosslingual-train-2562226,wikilingua_crosslingual-train-2562226,fr,en,"Utilisez la couleur de votre choix, mais avec une peinture acrylique. Utilisez une quantité généreuse pour couvrir toute la surface de bois que vous souhaitez craqueler. Vous devez appliquer assez de colle pour que la couche soit opaque. Laissez-la sécher partiellement, jusqu'à ce qu'elle soit encore poisseuse. Appliquez-la sur toute la surface de bois même si la colle est encore poisseuse et laissez sécher. Ceci peut prendre plusieurs heures, lorsque la peinture et la colle ont complètement séché .",Paint your wood. Apply white school glue. Add a second coat of paint. Wait for the crackle effect to start taking place.,['Paint your wood. Apply white school glue. Add a second coat of paint. Wait for the crackle effect to start taking place.']
wikilingua_crosslingual-train-2562227,wikilingua_crosslingual-train-2562227,en,fr,"Use any hue of your choice, but it must be an acrylic paint. Use a generous amount to completely coat the wood. You should apply enough glue so that it appears opaque. Allow it to partially dry, until tacky. Brush the paint over the still tacky glue, and allow time to dry. It may take several hours for it to appear, after the glue and paint completely dry.","Peignez le bois. Appliquez une couche de colle blanche pour loisirs créatifs. Ajoutez une 2e couche de peinture, la même que précédemment. Attendez que l'effet craquelé apparaisse.","[""Peignez le bois. Appliquez une couche de colle blanche pour loisirs créatifs. Ajoutez une 2e couche de peinture, la même que précédemment. Attendez que l'effet craquelé apparaisse.""]"
wikilingua_crosslingual-train-2562330,wikilingua_crosslingual-train-2562330,fr,en,"Les différentes variétés de riz ont toutes des poids et des textures différentes. Pour faciliter le procédé au maximum, essayez de manger ru riz blanc à grains courts assez collant qui forme des tas faciles à ramasser. Le riz complet et le riz blanc long ont tendance à avoir des grains qui se collent beaucoup moins les uns aux autres, ce qui les rend beaucoup plus difficiles à prendre sans les faire tomber.","If you can, choose sticky rice.","['If you can, choose sticky rice.']"
wikilingua_crosslingual-train-2562331,wikilingua_crosslingual-train-2562331,en,fr,"Not all rices have the same weight and texture. For the easiest results, try picking a short-grained white rice, which tend to form ""sticky"" clumps that are easier to pick up. By contrast, brown rice and long-grained white rice tends to stick to itself less, so it's much easier to drop or spill.","Si possible, mangez du riz gluant.","['Si possible, mangez du riz gluant.']"
wikilingua_crosslingual-train-2562338,wikilingua_crosslingual-train-2562338,fr,en,"Si vous êtes loin de chez vous et que vous voulez consulter un fichier sur votre PC domestique, il vous suffit juste de vous connecter au site de OneDrive, via un PC et un navigateur. N'importe quel PC convient et il n'a même pas besoin d'être équipé de OneDrive. En haut de la page d'accueil, cliquez sur le bouton Se connecter. Il faudra juste entrer l'adresse e-mail du compte OneDrive ou Microsoft.",Go to the OneDrive website. Sign in.,['Go to the OneDrive website. Sign in.']
wikilingua_crosslingual-train-2562339,wikilingua_crosslingual-train-2562339,en,fr,"If you're away from home and need to access files on your PC, just head to any available PC where you are located. Open a web browser and go to OneDrive's website. Any PC will do, and there's no need to install the OneDrive desktop application on this other PC. Find the “Sign In” button and click on it. Use your OneDrive account or Microsoft account to sign in.",Rendez-vous sur le site Internet de OneDrive. Connectez-vous.,['Rendez-vous sur le site Internet de OneDrive. Connectez-vous.']
wikilingua_crosslingual-train-2562340,wikilingua_crosslingual-train-2562340,fr,en,"Découpez le gâteau en deux avec un fil à découper ou un couteau à beurre et étalez du glaçage ou de la confiture à l’intérieur. Remettez les deux moitiés en place, puis utilisez un couteau à beurre ou une spatule en caoutchouc pour étaler le glaçage sur le dessus et les bords du gâteau.",Decorate your cake.,['Decorate your cake.']
wikilingua_crosslingual-train-2562341,wikilingua_crosslingual-train-2562341,en,fr,"Cut the cake in half using a piece of thread or a bread knife, then spread some frosting or jam on the inside. Put the cake back together, then use a butter knife or off-set cake decorating spatula to spread more frosting on the top and sides of the cake.",Décorez votre gâteau.,['Décorez votre gâteau.']
wikilingua_crosslingual-train-2562416,wikilingua_crosslingual-train-2562416,fr,en,"Couvrez le plat avec un couvercle ou du film plastique. Faites ensuite cuire vos ignames pendant 10 minutes, en surveillant la cuisson toutes les 5 minutes. Continuez à faire cuire vos ignames par intervalles de 2 minutes jusqu'à ce qu'elles soient bien tendres. Si vous cuisez vos patates douces entières, retournez-les au milieu du temps de cuisson. Si vous les avez coupées en morceaux, secouez le récipient de temps en temps pour faire bouger les morceaux.",Microwave on high. Finished.,['Microwave on high. Finished.']
wikilingua_crosslingual-train-2562417,wikilingua_crosslingual-train-2562417,en,fr,"Cover the dish with a lid or plastic wrap. Microwave for 10 minutes, checking the softness at 5 minutes. Continue to microwave in 2-minute intervals until tender. If you have whole yams, turn them over halfway through cooking. If you have chunks, shake the container to spread contents.",Faites cuire vos ignames au microonde à pleine puissance. Bon appétit !,['Faites cuire vos ignames au microonde à pleine puissance. Bon appétit\xa0!']
wikilingua_crosslingual-train-2562426,wikilingua_crosslingual-train-2562426,fr,en,"Vous avez la possibilité de mettre les saucisses directement dans la poêle ou d’y mettre d’abord deux cuillères à soupe d’huile végétale, de l’eau ou un spray de cuisson, avant de le faire pour qu’elles ne se collent pas à la poêle et brunissent uniformément .  Réglez la cuisinière uniquement sur un feu moyen à moyen vif. Si la poêle devient trop chaude, les saucisses peuvent se fissurer ou se dessécher. Si vous voulez, vous pouvez utiliser un four hollandais.",Heat a skillet over medium heat.,['Heat a skillet over medium heat.']
wikilingua_crosslingual-train-2562427,wikilingua_crosslingual-train-2562427,en,fr,"The sausage can be heated directly in the pan. You may want to add about 2 US tbsp (30 mL) of vegetable oil, water, or use a cooking spray so the sausage browns evenly without sticking to the pan.  Use medium or medium-high heat only. If the pan is too hot, the sausage may crack or shrivel. You can also heat the sausage in a Dutch oven.",Chauffez la poêle à feu moyen.,['Chauffez la poêle à feu moyen.']
wikilingua_crosslingual-train-2562466,wikilingua_crosslingual-train-2562466,fr,en,"Avec les lèvres entrouvertes, vous pourrez appliquer le crayon en respectant leur forme naturelle .",Part your lips slightly.,['Part your lips slightly.']
wikilingua_crosslingual-train-2562467,wikilingua_crosslingual-train-2562467,en,fr,Parting your lips slightly will help you stick to their natural shape as you line them.,Écartez légèrement les lèvres.,['Écartez légèrement les lèvres.']
wikilingua_crosslingual-train-2562474,wikilingua_crosslingual-train-2562474,fr,en,"La laque pour cheveux et les écrans solaires peuvent être utilisés, car ils contiennent généralement de l'alcool. Vérifiez la liste des ingrédients du produit pour vous en assurer . Vous pouvez aussi utiliser du désinfectant pour les mains, du WD-40 ou du jus de citron.",You can also use rubbing alcohol or similar products.,['You can also use rubbing alcohol or similar products.']
wikilingua_crosslingual-train-2562475,wikilingua_crosslingual-train-2562475,en,fr,"Hairspray and sunscreen will work because they usually have alcohol in them. Check the ingredients to be sure.  You can also try hand sanitizer, WD-40, or lemon juice.",Utilisez de l'alcool ou des produits similaires comme autre option.,"[""Utilisez de l'alcool ou des produits similaires comme autre option.""]"
wikilingua_crosslingual-train-2562548,wikilingua_crosslingual-train-2562548,fr,en,"Utilisez l'ordinateur sur lequel vous vous êtes connecté. Utilisez le même navigateur que lors de votre connexion. Par exemple, si vous vous êtes connecté à Amazon via Internet Explorer, il faudra vous déconnecter via Internet Explorer également. L'onglet se situe à droite sur la barre de menu en haut de la page. Au-dessus de l'onglet, vous devriez voir Bonjour, (votre nom ). Déconnexion du menu déroulant. C'est l'option qui se trouve tout en bas de la liste, sous la section Votre compte du menu déroulant .",Go to https://www.amazon.com on the computer you're signed in on. Hover your mouse over the “Accounts and Lists” tab in the menu bar. Click on “Not [your name]?,"[""Go to https://www.amazon.com on the computer you're signed in on. Hover your mouse over the “Accounts and Lists” tab in the menu bar. Click on “Not [your name]?""]"
wikilingua_crosslingual-train-2562549,wikilingua_crosslingual-train-2562549,en,fr,"Use the internet browser you used when you signed in. For example, if you signed into Amazon over Internet Explorer, you'll need to sign out over Internet Explorer as well. The tab is on the right side of the blue top menu bar. You should see “Hello, [your name]” listed above the tab. Sign out” from the drop-down menu. This option is all the way at the bottom of the list under the “Your Account” section of the drop-down menu.",Allez sur https://www.amazon.fr. Placez la souris sur l'onglet Compte et listes de la page d'accueil. Cliquez sur Pas (votre nom) ?,"[""Allez sur https://www.amazon.fr. Placez la souris sur l'onglet Compte et listes de la page d'accueil. Cliquez sur Pas (votre nom)\xa0?""]"
wikilingua_crosslingual-train-2562570,wikilingua_crosslingual-train-2562570,fr,en,Il vaut mieux que vous le fassiez avec la main avec laquelle vous vous sentez le plus à l'aise. Tenez-le avec la charnière tournée vers votre index. Vous devez le poser entre votre pouce et votre index avec le couvercle qui dépasse légèrement de votre main pour qu'il puisse s'ouvrir sans aucun obstacle.,Hold your Zippo in your primary hand.,['Hold your Zippo in your primary hand.']
wikilingua_crosslingual-train-2562571,wikilingua_crosslingual-train-2562571,en,fr,It’s best to do this trick with the hand that you feel most comfortable with. Hold the Zippo with the hinge facing toward your index finger. You want to hold your Zippo between your thumb and forefinger with the lid sitting enough above your hand so that it can open the lid fully without being blocked.,Maintenez-le dans votre main dominante.,['Maintenez-le dans votre main dominante.']
wikilingua_crosslingual-train-2562600,wikilingua_crosslingual-train-2562600,fr,en,"Trempez la boule dans les huiles et laissez-la absorber le mélange. Assurez-vous qu’elle est imbibée d’huile pour traiter efficacement les maux de dents. Utilisez une grosse boule de coton pour appliquer plus d’huile sur la dent et les gencives. Réglez un chronomètre sur vingt minutes, puis essayez de vous détendre pendant que les huiles agissent. Ensuite, retirez la boule de coton et rincez-vous la bouche avec la solution d’eau salée. Terminez en vous rinçant la bouche avec de l’eau tiède.",Soak a cotton ball in the oil mixture. Leave the compress on your tooth for 20 minutes.,['Soak a cotton ball in the oil mixture. Leave the compress on your tooth for 20 minutes.']
wikilingua_crosslingual-train-2562601,wikilingua_crosslingual-train-2562601,en,fr,"Dip the cotton ball into the oils and let it absorb the mixture. Make sure the cotton ball gets saturated in oils so that it will effectively treat your tooth ache.Use a large cotton ball so that it applies more oil to your tooth and gums. Set a timer for 20 minutes, then try to relax while the oils work. Afterwards, remove the cotton ball and rinse your mouth out with the warm salt water solution. Finish by rinsing your mouth with warm water.",Trempez une boule de coton dans le mélange d’huile. Laissez le coton sur la dent pendant 20 minutes.,['Trempez une boule de coton dans le mélange d’huile. Laissez le coton sur la dent pendant 20 minutes.']
wikilingua_crosslingual-train-2562658,wikilingua_crosslingual-train-2562658,fr,en,"Elle donnera une jolie touche asymétrique à votre coiffure. En commençant à votre front, faites-vous une raie à gauche ou à droite. À mesure que vous approchez de l’arrière de votre tête, rapprochez-vous du milieu. À partir du sommet de votre tête, faites une raie centrale qui descend jusqu’à votre nuque.","Make a side part for a cool, off-center style.","['Make a side part for a cool, off-center style.']"
wikilingua_crosslingual-train-2562659,wikilingua_crosslingual-train-2562659,en,fr,"Starting at your hairline, part your hair to the left or right side. As you trace the part back towards the crown, gradually bring it to the center. The part should be right down the center from the crown of your head down to the nape.",Faites une raie sur le côté.,['Faites une raie sur le côté.']
wikilingua_crosslingual-train-2562662,wikilingua_crosslingual-train-2562662,fr,en,"Elle ne fonctionnera pas bien si vous ne roulez pas. La meilleure position pour un diagnostic est celle qui donne de l'air frais (pas celle qui fait circuler l'air) avec l'air qui sort des évents centraux lorsque la climatisation est allumée.  Commencez en mettant le ventilateur à pleine puissance. Si votre voiture dispose d'une option « Max AC », sélectionnez-la.",Turn the air conditioning on while the car is running.,['Turn the air conditioning on while the car is running.']
wikilingua_crosslingual-train-2562663,wikilingua_crosslingual-train-2562663,en,fr,"The air conditioner won’t run properly unless your engine is running.  The best setting for diagnosis is “fresh air” (not recirculated) with the air blowing out of the center vents in the dash and the AC turned on.  Start with the fan speed turned to its highest setting. If your car has a “Max AC” setting, select that option.",Allumez la climatisation une fois que vous roulez.,['Allumez la climatisation une fois que vous roulez.']
wikilingua_crosslingual-train-2562686,wikilingua_crosslingual-train-2562686,fr,en,"Les membres du groupe devront travailler ensemble et s'assurer que chacun est en sécurité et que les ressources sont équitablement partagées. Si quelqu'un venait à mourir, enterrez-le et organisez une cérémonie. Vous lui direz ainsi au revoir avec respect et empêcherez la propagation de maladies.","Act on all of the approved ideas together as a group, if you have one. Bury dead companions.","['Act on all of the approved ideas together as a group, if you have one. Bury dead companions.']"
wikilingua_crosslingual-train-2562687,wikilingua_crosslingual-train-2562687,en,fr,"Everyone must work together and ensure that all needs are met, and ensure that all your resources are put to good use. If anyone in the group dies, bury them and hold a funeral, or in extreme cases, cannibalize them.  This brings some closure, and gives the due respect required while removing a potential source of disease as well.","Si vous êtes en groupe, travaillez en équipe. Enterrez les morts.","['Si vous êtes en groupe, travaillez en équipe. Enterrez les morts.']"
wikilingua_crosslingual-train-2562872,wikilingua_crosslingual-train-2562872,fr,en,"Juste avant de mettre le volatile dans sa cage avant la présentation, essuyez-le doucement dans le sens des plumes avec un tissu en soie, par exemple une écharpe en soie. Cela permet d’aligner et de lisser les plumes tout en leur donnant plus d’éclat. Plus la poule a l’air en bonne santé, heureuse et sure d’elle, plus les juges vont pencher en sa faveur. Assurez-vous de sa santé, de son régime alimentaire et de son comportement avec les humains pendant toutes les préparations d’avant compétition.",Do a last minute wipe before the show.,['Do a last minute wipe before the show.']
wikilingua_crosslingual-train-2562873,wikilingua_crosslingual-train-2562873,en,fr,"Just before placing the bird in its cage at the show, gently wipe it all over in the direction of its feather with a silk cloth, e.g. a silk scarf. This helps to align and smooth feathers, and to add extra sheen to the bird. The healthier, happier, and more confident your bird appears, the more likely the judge will favour it. Ensure your bird’s health, diet, and comfort around humans is maintained throughout show preparation.",Essuyez-la au dernier moment avant la présentation.,['Essuyez-la au dernier moment avant la présentation.']
